match_id,teams,over,commentary,timestamp
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"16.2
Spencer","Johnson to Livingstone, FOUR, emphatic win for RCB. They have hammered KKR in their own den. Full outside off, Livingstone again shuffles across and drags this wide of mid-on and it's a boundary to end things",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"16.1
Spencer","Johnson to Livingstone, SIX, Livingstone is in a mood to kill this game almost immediately. He shuffles across and gets under this short ball, pulls and the thick top-edge helps, flies over the RCB dugout",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"15.6
Vaibhav","Arora to Livingstone, 1 run, length delivery outside off, Livingstone punches square of the wicket on the off-side for one",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"15.5
Vaibhav","Arora to Livingstone, no run, slower-ball on a length outside off, Livingstone aims for a big mow across, the under-edge rolls to the keeper",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"15.4
Vaibhav","Arora to Livingstone, FOUR, Livingstone is off the mark with a boundary. He sports a smile as he goes to Kohli. Dragged down on middle, Livingstone pulls to the deep backward square-leg fence",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"15.2
Vaibhav","Arora to Rajat Patidar, FOUR, one bounce over the ropes at deep backward square-leg. It's short of length and on middle, Rajat Patidar helps it along",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"15.1
Vaibhav","Arora to Kohli, 1 run, length delivery and angling into off, Kohli gets forward to push towards mid-off and takes one",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"14.6
Harshit","Rana to Rajat Patidar, FOUR, brilliant wrists. It's short of length on middle, actually Harshit Rana cramped Rajat Patidar there, but Patidar makes room and somehow elevates this over backward point, wrists of steel there and it's into the gap. Big over as 19 came off it",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"14.5
Harshit","Rana to Rajat Patidar, FOUR, Rajat Patidar is finishing this off quickly here. Sloppy fielding though. A slower-ball off-cutter full outside off, Patidar gets forward to drive and Rinku at backward point goes to his right and tries to stop with his right hand, allows it to slip away and it runs away for four too, Harshit Rana is not happy at all, he shakes his head in disappointment",2025-06-09 07:13:29
114960,KKR vs RCB-1ST-MATCH-INDIAN-PREMIER-LEAGUE-2025,"14.4
Harshit","Rana to Rajat Patidar, 2 runs, short of length on off, Rajat Patidar tucks it nicely and Arora runs around from deep square-leg and boots it back, saves two as that was heading for four",2025-06-09 07:13:29
